date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:55	10065/10065	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:12:16%20GMT	https://portal.unaab.edu.ng/Login.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Login.html	(from )
21:19:56	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Dec%202021%2020:12:19%20GMT	https://portal.unaab.edu.ng/robots.txt		(from )
21:19:58	72407/72407	---M-Z	200	added ('OK')	text/css	etag:%22bdb9c5c691cd51:0%22	https://portal.unaab.edu.ng/style.css	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/style.css	(from https://portal.unaab.edu.ng/Login.aspx)
21:19:59	8615/8615	---M-Z	200	added ('OK')	text/css	etag:%22e5764cfbaa5d01:0%22	https://portal.unaab.edu.ng/style.responsive.css	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/style.responsive.css	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:00	92793/92793	---M-Z	200	added ('OK')	application/javascript	etag:%222bdd37fbaa5d01:0%22	https://portal.unaab.edu.ng/jquery.js	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/jquery.js	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:01	43446/43446	---M-Z	200	added ('OK')	application/javascript	etag:%2255a038fbaa5d01:0%22	https://portal.unaab.edu.ng/script.js	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/script.js	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:02	16691/16691	---M-Z	200	added ('OK')	application/javascript	etag:%22c66339fbaa5d01:0%22	https://portal.unaab.edu.ng/script.responsive.js	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/script.responsive.js	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:04	18769/18769	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:12:25%20GMT	https://portal.unaab.edu.ng/Default.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Default.html	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:04	213/213	---M--	302	error ('Found')	text/html	date:Tue,%2014%20Dec%202021%2020:12:27%20GMT	https://portal.unaab.edu.ng/Secure/RegistrationForm.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Secure/RegistrationForm.7.delayed	(from https://portal.unaab.edu.ng/Login.aspx)
21:20:05	10144/10144	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Dec%202021%2020:12:27%20GMT	https://portal.unaab.edu.ng/Login.aspx?redirecturl=https://portal.unaab.edu.ng/Secure/RegistrationForm.aspx	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/Login6ff5.html	(from https://portal.unaab.edu.ng/Login.aspx)
